===> TOTAL: 92.145% | a1=8.1, a2=0.5, zcr=2000
===> TOTAL: 92.088% | a1=8.1, a2=0.5, zcr=2500
===> TOTAL: 92.115% | a1=8.1, a2=0.5, zcr=3000
===> TOTAL: 92.078% | a1=8.1, a2=0.5, zcr=3500
===> TOTAL: 92.033% | a1=8.1, a2=0.5, zcr=4000
===> TOTAL: 92.145% | a1=8.1, a2=0.6, zcr=2000
===> TOTAL: 92.096% | a1=8.1, a2=0.6, zcr=2500
===> TOTAL: 92.114% | a1=8.1, a2=0.6, zcr=3000
===> TOTAL: 92.077% | a1=8.1, a2=0.6, zcr=3500
===> TOTAL: 92.037% | a1=8.1, a2=0.6, zcr=4000
===> TOTAL: 92.181% | a1=8.1, a2=0.7, zcr=2000
===> TOTAL: 92.131% | a1=8.1, a2=0.7, zcr=2500
===> TOTAL: 92.154% | a1=8.1, a2=0.7, zcr=3000
===> TOTAL: 92.132% | a1=8.1, a2=0.7, zcr=3500
===> TOTAL: 92.091% | a1=8.1, a2=0.7, zcr=4000
===> TOTAL: 92.131% | a1=8.2, a2=0.5, zcr=2000
===> TOTAL: 92.070% | a1=8.2, a2=0.5, zcr=2500
===> TOTAL: 92.099% | a1=8.2, a2=0.5, zcr=3000
===> TOTAL: 92.063% | a1=8.2, a2=0.5, zcr=3500
===> TOTAL: 91.997% | a1=8.2, a2=0.5, zcr=4000
===> TOTAL: 92.125% | a1=8.2, a2=0.6, zcr=2000
===> TOTAL: 92.068% | a1=8.2, a2=0.6, zcr=2500
===> TOTAL: 92.094% | a1=8.2, a2=0.6, zcr=3000
===> TOTAL: 92.058% | a1=8.2, a2=0.6, zcr=3500
===> TOTAL: 92.013% | a1=8.2, a2=0.6, zcr=4000
===> TOTAL: 92.126% | a1=8.2, a2=0.7, zcr=2000
===> TOTAL: 92.075% | a1=8.2, a2=0.7, zcr=2500
===> TOTAL: 92.093% | a1=8.2, a2=0.7, zcr=3000
===> TOTAL: 92.057% | a1=8.2, a2=0.7, zcr=3500
===> TOTAL: 92.017% | a1=8.2, a2=0.7, zcr=4000
===> TOTAL: 92.083% | a1=8.3, a2=0.5, zcr=2000
===> TOTAL: 92.032% | a1=8.3, a2=0.5, zcr=2500
===> TOTAL: 92.057% | a1=8.3, a2=0.5, zcr=3000
===> TOTAL: 92.023% | a1=8.3, a2=0.5, zcr=3500
===> TOTAL: 91.958% | a1=8.3, a2=0.5, zcr=4000
===> TOTAL: 92.123% | a1=8.3, a2=0.6, zcr=2000
===> TOTAL: 92.062% | a1=8.3, a2=0.6, zcr=2500
===> TOTAL: 92.091% | a1=8.3, a2=0.6, zcr=3000
===> TOTAL: 92.058% | a1=8.3, a2=0.6, zcr=3500
===> TOTAL: 91.992% | a1=8.3, a2=0.6, zcr=4000
===> TOTAL: 92.117% | a1=8.3, a2=0.7, zcr=2000
===> TOTAL: 92.060% | a1=8.3, a2=0.7, zcr=2500
===> TOTAL: 92.086% | a1=8.3, a2=0.7, zcr=3000
===> TOTAL: 92.053% | a1=8.3, a2=0.7, zcr=3500
===> TOTAL: 92.008% | a1=8.3, a2=0.7, zcr=4000
